E	pcent	pcent01	pcent02	pcent03	pcent04	pcent05	pcent06	pcent07	pcent08	pcent09	pcent10	pcent11	pcent12	Sgeo
0.063628	46.5941230066702	48.5305993276515	45.5002579962831	46.2268828607537	46.1887865993384	45.7659059502633	46.4798118573945	46.0363108529909	45.5052066949416	45.3434417472374	44.8063052288342	49.6811499720068	50.5568773669627	19080010
0.070976	45.7823936493743	47.6848012589326	44.7098397269284	45.443541832492	45.3965971747777	44.9522714434706	45.6259451816906	45.1605475067862	44.6532618582554	44.564758359887	44.0721381691226	48.893207841945	49.7086593510217	19080010
0.079172	44.955046121349	46.8162907727947	43.9005858390947	44.644709377176	44.5908306381163	44.1298372691394	44.7575856259017	44.2692119048496	43.78599901338	43.7727201190414	43.3239109608656	48.0862460849298	48.8414623781469	19080010
0.088316	44.1117863366423	45.9292722670687	43.0727730965104	43.8280026959756	43.7749194175231	43.2966046609947	43.8740192590064	43.3641036129774	42.904479628307	42.9644689056371	42.5588004513863	47.2587334865281	47.9540955989937	19080010
0.098515	43.2526880822893	45.0200256209606	42.2288148609383	42.9949588083602	42.948445002053	42.4541650911291	42.977419918934	42.4435662934247	42.0099828108059	42.1379491963677	41.7777677209345	46.4097294680113	47.0456121848419	19080010
0.109892	42.3759229330737	44.0894195009995	41.3620432334512	42.1429259921195	42.1087058364817	41.6027135819842	42.0673578220598	41.5059157147479	41.1008093166197	41.2914342450457	40.981662796874	45.5347541171397	46.1137239152154	19080010
0.122583	41.4825472625432	43.1353633933302	40.4751195129189	41.2742409397643	41.2571150644853	40.7435721893395	41.1455844360063	40.5561206447082	40.1777362580069	40.4253725958346	40.1694504339048	44.6337289067983	45.1581125730268	19080010
0.13674	40.5715827649372	42.160148174588	39.5674445774385	40.3878897916807	40.3957457595904	39.877407285621	40.2112961424848	39.5926001105539	39.2383616533495	39.5384414248679	39.3383711312041	43.7021264240434	44.1773591154015	19080010
0.152532	39.6437684157161	41.1617938523434	38.6396195067625	39.4883296288929	39.5253854466198	39.0031608301299	39.2650339160111	38.6168511561374	38.2836310172337	38.6344624809775	38.4862894507429	42.7397454601172	43.1726591433819	19080010
0.170147	38.6990556253728	40.1381968916042	37.6934844845517	38.5744652707079	38.647365673304	38.1213680671119	38.3090872421568	37.6333312773359	37.3149565810391	37.7106201423116	37.6092458379782	41.7462777021313	42.1416231926368	19080010
0.189797	37.7387743814924	39.0879642836866	36.7300046559606	37.6504012710441	37.7633697839295	37.2359991257969	37.3431213594069	36.6445539153251	36.3320085210124	36.7649091263662	36.7114189566986	40.7202164867253	41.0881154286753	19080010
0.211716	36.7628940680747	38.014272686733	35.7501507694477	36.7152795556405	36.8744717481828	36.3444746199554	36.3681140962109	35.6500573320163	35.3380625851651	35.7962991669284	35.7923827738176	39.6601175974972	40.0090629982999	19080010
0.236166	35.7731406535711	36.9190318579069	34.755176121511	35.7689795497664	35.9804306288043	35.4501853836718	35.3857539971062	34.652211143885	34.3377323835754	34.8045303275224	34.8527691497145	38.5687399250692	38.907564360157	19080010
0.26344	34.7704674319765	35.8045147497813	33.7506796049627	34.8095131094203	35.0841913753894	34.5510406371232	34.3979915087455	33.6495308346667	33.3354862502225	33.7943339640759	33.8918671830628	37.4452130254195	37.7795037045449	19080010
0.293864	33.7562176497018	34.6777446405576	32.7362372205341	33.8394552973797	34.1835701801994	33.6438968746941	33.4028149968573	32.6430617739522	32.3329369388389	32.7688814172094	32.9079020382935	36.3002090375656	36.6262908094993	19080010
0.327801	32.7316112824286	33.5400965583688	31.706064232864	32.8560663536475	33.278023897065	32.7296136704231	32.4006303164065	31.6382680397915	31.3319308226604	31.7319583519329	31.9046028237411	35.1367601650031	35.4505815394301	19080010
0.365658	31.6989245688941	32.3907599914718	30.6671378254166	31.8623709732273	32.3662997608157	31.8094976473456	31.3939470701171	30.634600750165	30.3349908544261	30.6886835122422	30.8859674259528	33.958265170243	34.2528168469498	19080010
0.407886	30.6593726792054	31.2337711432167	29.6183873310532	30.8578996640145	31.4491666366034	30.881742483806	30.3819130836367	29.6333311646452	29.3441258299386	29.643609316618	29.8508179312314	32.7699738570281	33.0359488900099	19080010
0.454991	29.6157172498196	30.078345677672	28.5669415442732	29.845336558957	30.5216167084554	29.9419646847774	29.365580779097	28.6341588066088	28.3627650418713	28.606814518405	28.8034094122177	31.5741566093431	31.8038762965637	19080010
0.507537	28.5704420277809	28.9298020594911	27.5175577844648	28.8258086483069	29.5790717744981	28.991315763791	28.3461531063633	27.6379574882757	27.3897499263107	27.5803952624032	27.7494366742864	30.3751452613118	30.5680071845389	19080010
0.566151	27.5273099094892	27.7988121015904	26.4751087214876	27.803433880088	28.6218390993389	28.0313672529954	27.3240516470287	26.6449218412253	26.424853627951	26.5617966307443	26.6933691885596	29.1827640331063	29.3443860570123	19080010
0.631533	26.4875749076007	26.686908648479	25.4420780000115	26.778412335934	27.6516179877062	27.0599201014752	26.3011847416745	25.6583501709984	25.4685929600346	25.55001402346	25.6408582263116	27.9966695534206	28.134249590618	19080010
0.704467	25.4535684032832	25.5965063688173	24.4231738624938	25.7492666658631	26.6688110085063	26.0751280954361	25.2806034472796	24.6787604954839	24.5213083827097	24.548026729404	24.5938517752218	26.8237523623614	26.947768548795	19080010
