E	pcent	pcent06	pcent07	pcent08	pcent09	pcent10	Sgeo
4.048462	4.91353640683	4.35809187582882	6.12428388353651	5.42894972106274	4.00413829970977	2.12933713659087	6100532
4.516005	4.62163961588211	4.12837721678481	5.80210737903259	5.09109885769031	3.72982024591305	1.97590482404774	6100532
5.037543	4.34562164681719	3.90505882382446	5.49510437525	4.77033811571189	3.48064308486646	1.82141110811273	6100532
5.619312	4.08177777273612	3.69179098888565	5.19734129067785	4.46688245654401	3.24492351131613	1.66390517202897	6100532
6.268267	3.82933380473099	3.49041727364912	4.91594193018165	4.17588167633419	3.01790438221304	1.49969036120547	6100532
6.992167	3.5867136127339	3.29865622873031	4.64840799720843	3.89925287195577	2.79601768861109	1.32248976443489	6100532
7.799669	3.35453851152285	3.11793450973014	4.39369025391132	3.64245206003482	2.57603487281271	1.12784259963249	6100532
8.700426	3.12971606229158	2.94425433158678	4.15269540688185	3.40168580300024	2.35317391640929	0.908537013238383	6100532
9.705208	2.90717225946758	2.77743943365015	3.92091327649043	3.17201408885326	2.12171661807973	0.644655260897827	6100532
10.826029	2.68056287971252	2.61446473719167	3.69672562122364	2.9494643560948	1.85238707440794	0.386867168982073	6100532
12.07629	2.44002161385208	2.45497557094427	3.47941716727716	2.73111112209317	1.49803064478342	0.181751914796677	6100532
13.470939	2.17765867599769	2.29855385284147	3.26736443459697	2.5128146058502	1.02586100283058	0.0601211898466563	6100532
15.026652	1.91892434303721	2.14585904453847	3.06169800863872	2.28782077438862	0.551955764679393	0.0116378381862077	6100532
16.762028	1.69265462824253	1.9953599287229	2.85934159888471	2.04258885394014	0.226529345358436	0.00159625863455921	6100532
18.697817	1.48881123109737	1.84758078755995	2.65772772695962	1.73815039846221	0.0662918039087939	0.000295343572190566	6100532
20.857164	1.28450006039284	1.70263053833973	2.45439323576766	1.34768586434393	0.0137364377112161	0	6100532
23.265886	1.06682732805739	1.55818654020767	2.24416278626409	0.884453311352736	0.00486842530280372	0	6100532
25.952783	0.869419855467207	1.41024392827822	2.0106871242178	0.504430085732209	0.000818474174513905	0	6100532
28.949981	0.683674974930329	1.24879881094073	1.7092241551086	0.221709976873388	0.000120285037226454	0	6100532
32.293315	0.502806190185337	1.05545044148875	1.29785197670452	0.0594402470487358	0	0	6100532
36.022759	0.329279205365101	0.791217099755135	0.822863525963843	0.00898611659343617	0	0	6100532
40.182904	0.175923749672082	0.47504468768894	0.410734951891296	0.000988731410358411	0	0	6100532
44.823489	0.0657161467375822	0.217388301938356	0.12817107448653	3.62089769529234e-05	0	0	6100532
50	0.0148431347395927	0.0760196623323401	0.0116551501774788	0	0	0	6100532
